,预售证号,日期,项目名称,发展商,项目坐落,栋号,住宅面积,商业面积,办公面积,其他面积,住宅套数,商业套数,办公套数,其他套数
0,肇鼎预许字第2019051号,2019年9月26日,肇庆市应急安全示范小区30幢（住宅）,肇庆市兴融房地产开发有限公司,肇庆市鼎湖区坑口59区（B-59-06-A）桃园路东8号,30幢（住宅）2层/8套,1449.8,0,0,0,8,0,0,0
1,肇鼎预许字第2019050号,2019年9月26日,肇庆市应急安全示范小区29幢（住宅）,肇庆市兴融房地产开发有限公司,肇庆市鼎湖区坑口59区（B-59-06-A）桃园路东8号,29幢（住宅）2层/9套,1732.38,0,0,0,9,0,0,0
2,肇鼎预许字第2019049号,2019年9月26日,肇庆市应急安全示范小区28幢（住宅）,肇庆市兴融房地产开发有限公司,肇庆市鼎湖区坑口59区（B-59-06-A）桃园路东8号,28幢（住宅）2层/4套,753.61,0,0,0,4,0,0,0
3,肇鼎预许字第2019048号,2019年9月26日,山林湖尚城A区8号楼,肇庆市广新汇富房地产发展有限公司,鼎湖区新城58区港口路山林湖尚城,A区8号楼（7层）/46套,3601.08,385.63,0,0,36,10,0,0
4,肇鼎预许字第2019047号,2019年9月25日,美的碧桂园天合园4号楼,肇庆市鼎湖区美肇房地产开发有限公司,肇庆市鼎湖区北二区（B-n2-01、B-n2-02）,4号楼  25层/96套,10669.92,0,0,0,96,0,0,0
5,肇鼎预许字第2019046号,2019年9月20日,天禧花园,肇庆市龙光骏驰房地产有限公司,肇庆市鼎湖区同兴路28号,13栋26层/102套,10973.52,0,0,0,102,0,0,0
6,肇鼎预许字第2019045号,2019年9月12日,中新金盛豪苑二期C幢,肇庆市鼎湖城建房地产有限公司,肇庆市鼎湖区50区（50-01-B）,C幢 17层/146套,15047.83,1916.14,0,0,126,20,0,0
7,肇鼎预许字第2019044号,2019年8月30日,鼎湖瑞和家园二期G幢,肇庆市瑞和豪苑房地产开发有限公司,鼎湖区新城七区创业路北侧,G幢25层/77套,8624.77,392.81,0,0,72,5,0,0
8,肇鼎预许字第2019043号,2019年8月30日,鼎湖瑞和家园二期F幢,肇庆市瑞和豪苑房地产开发有限公司,鼎湖区新城七区创业路北侧,F幢25层/78套,8491.93,642.99,0,0,72,6,0,0
9,肇鼎预许字第2019042号,2019年8月30日,恒泰悦�Z府,肇庆市骏龙智能自动化科技有限公司,肇庆市鼎湖区新城64区,6号楼  18层/36套,5073.48,0,0,0,36,0,0,0
10,肇鼎预许字第2019041号,2019年8月28日,碧桂园都荟花园8号楼,肇庆市鼎湖区碧桂园新碧房地产开发有限公司,肇庆市鼎湖区坑口街道66区桂湾路6号,8号楼/24层/96套,11336.94,0,0,0,96,0,0,0
11,肇鼎预许字第2019040号,2019年8月26日,中新金盛豪苑二期D幢,肇庆市鼎湖城建房地产有限公司,肇庆市鼎湖区50区（50-01-B）,D幢  11层/147套,13872.4,1449.31,0,0,130,17,0,0
12,肇鼎预许字第2019039号,2019年8月16日,涛汇翠湖湾花园,肇庆市鼎湖区涛汇房产开发有限公司,鼎湖区西三区（W03-10）,3号楼(17层）、4号楼（17层）/177套,14480.8,700.46,0,0,160,17,0,0
13,肇鼎预许字第2019038号,2019年8月15日,长信悦公馆2栋,肇庆市铭德装饰工程有限公司,肇庆市鼎湖区坑口街道新城64区星湖大道中20号,2栋,10437.84,188.79,0,0,96,6,0,0
14,肇鼎预许字第2019037号,2019年8月15日,长信悦公馆1栋,肇庆市铭德装饰工程有限公司,肇庆市鼎湖区坑口街道新城64区星湖大道中20号,1栋,10170.96,223.23,0,0,96,6,0,0
15,肇鼎预许字第2019036号,2019年8月15日,天禧花园,肇庆市龙光骏驰房地产有限公司,肇庆市鼎湖区同兴路28号,14栋26层/130套,11664.24,436.75,0,0,120,10,0,0
16,肇鼎预许字第2019035号,2019年8月12日,中新金盛豪苑二期E幢,肇庆市鼎湖城建房地产有限公司,肇庆市鼎湖区50区（50-01-B）,E幢 11层/137套,12094.6,1015.32,0,0,120,17,0,0
17,肇鼎预许字第2019034号,2019年8月2日,富力尚悦居,肇庆市奥信地产发展有限公司,肇庆市鼎湖区四十六区（A-46-05）,B5栋住宅楼,12422.93,0,0,0,131,0,0,0
18,肇鼎预许字第2019033号,2019年7月30日,玖誉花园,肇庆市宝鼎房地产开发有限公司,肇庆市鼎湖区民乐大道4号,1幢32层/248套,25033.74,0,0,0,248,0,0,0
19,肇鼎预许字第2019032号,2019年7月25日,富力尚悦居,肇庆市奥信地产发展有限公司,肇庆市鼎湖区四十六区（A-46-05）,B6栋住宅,,,0,0,136,0,0,0
20,肇鼎预许字第2019031号,2019年7月24日,富力尚悦居,肇庆市奥信地产发展有限公司,肇庆市鼎湖区四十六区（A-46-05）,B7栋住宅楼,12688.62,0,0,0,136,0,0,0
21,肇鼎预许字第2019030号,2019年6月24日,碧桂园都荟花园9号楼,肇庆市鼎湖区碧桂园新碧房地产开发有限公司,肇庆市鼎湖区坑口街道66区桂湾路6号,9号楼 26层/106套,11876.5,422.14,0,0,100,6,0,0
22,肇鼎预许字第2019029号,2019年6月21日,玖誉花园,肇庆市宝鼎房地产开发有限公司,肇庆市鼎湖区民乐大道4号,2幢32层/124套,12915.84,0,0,0,124,0,0,0
23,肇鼎预许字第2019028号,2019年6月21日,山林湖尚城A区7号楼,肇庆市广新汇富房地产发展有限公司,鼎湖区新城58区港口路山林湖尚城,A区7号楼（7层）/30套,6092.36,0,0,0,30,0,0,0
24,肇鼎预许字第2019027号,2019年6月20日,天禧花园,肇庆市龙光骏驰房地产有限公司,肇庆市鼎湖区同兴路28号,15栋26层/241套,23012.78,808.56,0,0,225,16,0,0
25,肇鼎预许字第2019026号,2019年6月17日,恒泰悦�Z府,肇庆市骏龙智能自动化科技有限公司,肇庆市鼎湖区新城64区,15号楼24号楼   15号楼8层/24号楼1层/130套,,797.52,4645.48,0,0,18,112,0
26,肇鼎预许字第2019025号,2019年6月17日,恒泰悦�Z府,肇庆市骏龙智能自动化科技有限公司,肇庆市鼎湖区新城64区,12号楼 7层/28套,3546.76,0,0,0,28,0,0,0
27,肇鼎预许字第2019024号,2019年6月17日,恒泰悦�Z府,肇庆市骏龙智能自动化科技有限公司,肇庆市鼎湖区新城64区,11号楼/23号楼   11号楼11层/23号楼1层/45套,4263.32,348.55,0,0,38,7,0,0
28,肇鼎预许字第2019023号,2019年6月3日,美的碧桂园天合园2号楼,肇庆市鼎湖区美肇房地产开发有限公司,肇庆市鼎湖区北二区（B-n2-01、B-n2-02）,2号楼  25层/96套,10747.44,0,0,0,96,0,0,0
29,肇鼎预许字第2019022号,2019年6月3日,天禧花园,肇庆市龙光骏驰房地产有限公司,肇庆市鼎湖区同兴路28号,16栋16层/788套,0,1121.24,0,31451.87,0,30,0,758
30,肇鼎预许字第2019021号,2019年6月3日,水木天骄,肇庆市玖信置业发展有限公司,肇庆市鼎湖区坑口新城54区,5号楼29层/57套,9331.09,0,0,0,57,0,0,0
31,肇鼎预许字第2019020号,2019年5月24日,碧桂园悦庭2号楼,肇庆市鼎湖区碧桂园房地产开发有限公司,肇庆市鼎湖区38区（38-01-A）莲花路5号碧桂园悦庭项目,2号楼/16层/60套,8776.32,0,0,0,60,0,0,0
32,肇鼎预许字第2019019号,2019年5月16日,肇庆市应急安全示范小区5幢（住宅）,肇庆市兴融房地产开发有限公司,肇庆市鼎湖区65区（C-65-02）桃园路东9号,5幢（住宅）30层/174套,22838.08,0,0,0,174,0,0,0
33,肇鼎预许字第2019018号,2019年5月16日,鼎湖美的花园,肇庆市鼎湖区美澳房地产开发有限公司,肇庆市鼎湖区66区坑口桂湾路8号,05-06座26层/200套,22078,0,0,0,200,0,0,0
34,肇鼎预许字第2019017号,2019年4月30日,帝豪花园二期7幢,肇庆市顺雅房地产开发有限公司,肇庆市鼎湖区新城54区（长园路10号）,"7幢
17层/91套",7968.29,725.98,0,0,80,11,0,0
35,肇鼎预许字第2019016号,2019年4月29日,碧桂园悦庭1号楼,肇庆市鼎湖区碧桂园房地产开发有限公司,肇庆市鼎湖区38区（38-01-A）莲花路5号碧桂园悦庭项目,1号楼/17层/138套,13712.1,2693.79,0,0,120,18,0,0
36,肇鼎预许字第2019015号,2019年4月29日,山林湖尚城A区6号楼,肇庆市广新汇富房地产发展有限公司,鼎湖区新城58区港口路山林湖尚城,A区6号楼（7层）/30套,6092.36,0,0,0,30,0,0,0
